领域代码,领域,地区代码 (M49),地区,要素代码,要素,科目代码 (FBS),科目,年份代码,年份,单位,值,标识,标识描述,说明
"FBS","食品收支表 (2010-)","860","乌兹别克斯坦","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","6.38","E","Estimated value",""
"FBS","食品收支表 (2010-)","860","乌兹别克斯坦","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","4.7","E","Estimated value",""
"FBS","食品收支表 (2010-)","887","也 门","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","2.29","E","Estimated value",""
"FBS","食品收支表 (2010-)","887","也 门","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","4.59","E","Estimated value",""
"FBS","食品收支表 (2010-)","887","也 门","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0.01","E","Estimated value",""
"FBS","食品收支表 (2010-)","887","也 门","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","9.06","E","Estimated value",""
"FBS","食品收支表 (2010-)","887","也 门","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","1.26","E","Estimated value",""
"FBS","食品收支表 (2010-)","051","亚美尼亚","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","25.76","E","Estimated value",""
"FBS","食品收支表 (2010-)","051","亚美尼亚","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","3.88","E","Estimated value",""
"FBS","食品收支表 (2010-)","051","亚美尼亚","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","11.36","E","Estimated value",""
"FBS","食品收支表 (2010-)","051","亚美尼亚","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","18.45","E","Estimated value",""
"FBS","食品收支表 (2010-)","051","亚美尼亚","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","6.38","E","Estimated value",""
"FBS","食品收支表 (2010-)","376","以色列","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","36.1","E","Estimated value",""
"FBS","食品收支表 (2010-)","376","以色列","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","5.1","E","Estimated value",""
"FBS","食品收支表 (2010-)","376","以色列","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","1.15","E","Estimated value",""
"FBS","食品收支表 (2010-)","376","以色列","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","70.83","E","Estimated value",""
"FBS","食品收支表 (2010-)","376","以色列","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","3.81","E","Estimated value",""
"FBS","食品收支表 (2010-)","364","伊 朗(伊斯兰共和国)","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","3.91","E","Estimated value",""
"FBS","食品收支表 (2010-)","364","伊 朗(伊斯兰共和国)","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","3.34","E","Estimated value",""
"FBS","食品收支表 (2010-)","364","伊 朗(伊斯兰共和国)","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0","E","Estimated value",""
"FBS","食品收支表 (2010-)","364","伊 朗(伊斯兰共和国)","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","24.58","E","Estimated value",""
"FBS","食品收支表 (2010-)","364","伊 朗(伊斯兰共和国)","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","1.24","E","Estimated value",""
"FBS","食品收支表 (2010-)","368","伊拉克","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","3.64","E","Estimated value",""
"FBS","食品收支表 (2010-)","368","伊拉克","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","1.48","E","Estimated value",""
"FBS","食品收支表 (2010-)","368","伊拉克","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0.41","E","Estimated value",""
"FBS","食品收支表 (2010-)","368","伊拉克","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","16.42","E","Estimated value",""
"FBS","食品收支表 (2010-)","368","伊拉克","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","0.49","E","Estimated value",""
"FBS","食品收支表 (2010-)","634","卡塔尔","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","18.46","E","Estimated value",""
"FBS","食品收支表 (2010-)","634","卡塔尔","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","10.57","E","Estimated value",""
"FBS","食品收支表 (2010-)","634","卡塔尔","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0.24","E","Estimated value",""
"FBS","食品收支表 (2010-)","634","卡塔尔","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","59.16","E","Estimated value",""
"FBS","食品收支表 (2010-)","634","卡塔尔","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","1.03","E","Estimated value",""
"FBS","食品收支表 (2010-)","356","印 度","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","2.2","E","Estimated value",""
"FBS","食品收支表 (2010-)","356","印 度","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","0.58","E","Estimated value",""
"FBS","食品收支表 (2010-)","356","印 度","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0.22","E","Estimated value",""
"FBS","食品收支表 (2010-)","356","印 度","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","3.49","E","Estimated value",""
"FBS","食品收支表 (2010-)","356","印 度","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","0.43","E","Estimated value",""
"FBS","食品收支表 (2010-)","360","印度尼西亚","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","2.99","E","Estimated value",""
"FBS","食品收支表 (2010-)","360","印度尼西亚","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","0.42","E","Estimated value",""
"FBS","食品收支表 (2010-)","360","印度尼西亚","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0.94","E","Estimated value",""
"FBS","食品收支表 (2010-)","360","印度尼西亚","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","14.8","E","Estimated value",""
"FBS","食品收支表 (2010-)","360","印度尼西亚","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","0.65","E","Estimated value",""
"FBS","食品收支表 (2010-)","417","吉尔吉斯斯坦","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","15.47","E","Estimated value",""
"FBS","食品收支表 (2010-)","417","吉尔吉斯斯坦","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","9.84","E","Estimated value",""
"FBS","食品收支表 (2010-)","417","吉尔吉斯斯坦","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","1.41","E","Estimated value",""
"FBS","食品收支表 (2010-)","417","吉尔吉斯斯坦","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","7.55","E","Estimated value",""
