领域代码,领域,地区代码 (M49),地区,要素代码,要素,科目代码 (FBS),科目,年份代码,年份,单位,值,标识,标识描述,说明
"FBS","食品收支表 (2010-)","414","科威特","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","11.86","E","Estimated value",""
"FBS","食品收支表 (2010-)","414","科威特","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","14.94","E","Estimated value",""
"FBS","食品收支表 (2010-)","414","科威特","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0.34","E","Estimated value",""
"FBS","食品收支表 (2010-)","414","科威特","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","52.27","E","Estimated value",""
"FBS","食品收支表 (2010-)","414","科威特","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","3.51","E","Estimated value",""
"FBS","食品收支表 (2010-)","400","约 旦","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","6.82","E","Estimated value",""
"FBS","食品收支表 (2010-)","400","约 旦","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","4.38","E","Estimated value",""
"FBS","食品收支表 (2010-)","400","约 旦","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0.01","E","Estimated value",""
"FBS","食品收支表 (2010-)","400","约 旦","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","26.6","E","Estimated value",""
"FBS","食品收支表 (2010-)","400","约 旦","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","1.39","E","Estimated value",""
"FBS","食品收支表 (2010-)","104","缅 甸","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","2.66","E","Estimated value",""
"FBS","食品收支表 (2010-)","104","缅 甸","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","0.22","E","Estimated value",""
"FBS","食品收支表 (2010-)","104","缅 甸","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","5.11","E","Estimated value",""
"FBS","食品收支表 (2010-)","104","缅 甸","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","12.09","E","Estimated value",""
"FBS","食品收支表 (2010-)","104","缅 甸","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","0.71","E","Estimated value",""
"FBS","食品收支表 (2010-)","418","老挝人民民主共和国","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","9.2","E","Estimated value",""
"FBS","食品收支表 (2010-)","418","老挝人民民主共和国","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","0.4","E","Estimated value",""
"FBS","食品收支表 (2010-)","418","老挝人民民主共和国","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","13.7","E","Estimated value",""
"FBS","食品收支表 (2010-)","418","老挝人民民主共和国","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","6.34","E","Estimated value",""
"FBS","食品收支表 (2010-)","418","老挝人民民主共和国","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","3.37","E","Estimated value",""
"FBS","食品收支表 (2010-)","608","菲律宾","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","3.79","E","Estimated value",""
"FBS","食品收支表 (2010-)","608","菲律宾","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","0.27","E","Estimated value",""
"FBS","食品收支表 (2010-)","608","菲律宾","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","15.11","E","Estimated value",""
"FBS","食品收支表 (2010-)","608","菲律宾","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","15.73","E","Estimated value",""
"FBS","食品收支表 (2010-)","608","菲律宾","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","5.22","E","Estimated value",""
"FBS","食品收支表 (2010-)","496","蒙 古","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","30.2","E","Estimated value",""
"FBS","食品收支表 (2010-)","496","蒙 古","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","68.45","E","Estimated value",""
"FBS","食品收支表 (2010-)","496","蒙 古","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","2.72","E","Estimated value",""
"FBS","食品收支表 (2010-)","496","蒙 古","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","7.1","E","Estimated value",""
"FBS","食品收支表 (2010-)","496","蒙 古","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","35.23","E","Estimated value",""
"FBS","食品收支表 (2010-)","704","越 南","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","5.31","E","Estimated value",""
"FBS","食品收支表 (2010-)","704","越 南","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","0.2","E","Estimated value",""
"FBS","食品收支表 (2010-)","704","越 南","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","32.79","E","Estimated value",""
"FBS","食品收支表 (2010-)","704","越 南","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","14.95","E","Estimated value",""
"FBS","食品收支表 (2010-)","704","越 南","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","4.54","E","Estimated value",""
"FBS","食品收支表 (2010-)","512","阿 曼","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","9.69","E","Estimated value",""
"FBS","食品收支表 (2010-)","512","阿 曼","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","12","E","Estimated value",""
"FBS","食品收支表 (2010-)","512","阿 曼","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0.5","E","Estimated value",""
"FBS","食品收支表 (2010-)","512","阿 曼","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","19.08","E","Estimated value",""
"FBS","食品收支表 (2010-)","512","阿 曼","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","3.01","E","Estimated value",""
"FBS","食品收支表 (2010-)","031","阿塞拜疆","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","15.03","E","Estimated value",""
"FBS","食品收支表 (2010-)","031","阿塞拜疆","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","8.6","E","Estimated value",""
"FBS","食品收支表 (2010-)","031","阿塞拜疆","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0.81","E","Estimated value",""
"FBS","食品收支表 (2010-)","031","阿塞拜疆","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","16.06","E","Estimated value",""
"FBS","食品收支表 (2010-)","031","阿塞拜疆","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","4.83","E","Estimated value",""
"FBS","食品收支表 (2010-)","004","阿富汗","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","1.99","E","Estimated value",""
"FBS","食品收支表 (2010-)","004","阿富汗","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","3.62","E","Estimated value",""
"FBS","食品收支表 (2010-)","004","阿富汗","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0.01","E","Estimated value",""
"FBS","食品收支表 (2010-)","004","阿富汗","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","0.87","E","Estimated value",""
"FBS","食品收支表 (2010-)","004","阿富汗","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","1.02","E","Estimated value",""
"FBS","食品收支表 (2010-)","760","阿拉伯叙利亚共和国","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","2.28","E","Estimated value",""
"FBS","食品收支表 (2010-)","760","阿拉伯叙利亚共和国","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","8.86","E","Estimated value",""
"FBS","食品收支表 (2010-)","760","阿拉伯叙利亚共和国","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0.09","E","Estimated value",""
"FBS","食品收支表 (2010-)","760","阿拉伯叙利亚共和国","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","5.24","E","Estimated value",""
"FBS","食品收支表 (2010-)","760","阿拉伯叙利亚共和国","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","2.26","E","Estimated value",""
"FBS","食品收支表 (2010-)","784","阿拉伯联合酋长国","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","13.93","E","Estimated value",""
"FBS","食品收支表 (2010-)","784","阿拉伯联合酋长国","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","9.82","E","Estimated value",""
"FBS","食品收支表 (2010-)","784","阿拉伯联合酋长国","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0.66","E","Estimated value",""
"FBS","食品收支表 (2010-)","784","阿拉伯联合酋长国","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","55.25","E","Estimated value",""
"FBS","食品收支表 (2010-)","784","阿拉伯联合酋长国","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","2.44","E","Estimated value",""
"FBS","食品收支表 (2010-)","462","马尔代夫","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","13.83","E","Estimated value",""
"FBS","食品收支表 (2010-)","462","马尔代夫","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","1.77","E","Estimated value",""
"FBS","食品收支表 (2010-)","462","马尔代夫","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0.83","E","Estimated value",""
"FBS","食品收支表 (2010-)","462","马尔代夫","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","21.8","E","Estimated value",""
"FBS","食品收支表 (2010-)","462","马尔代夫","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","0.17","E","Estimated value",""
"FBS","食品收支表 (2010-)","458","马来西亚","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","8.91","E","Estimated value",""
"FBS","食品收支表 (2010-)","458","马来西亚","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","1.38","E","Estimated value",""
"FBS","食品收支表 (2010-)","458","马来西亚","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","7.44","E","Estimated value",""
"FBS","食品收支表 (2010-)","458","马来西亚","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","53.06","E","Estimated value",""
"FBS","食品收支表 (2010-)","458","马来西亚","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","0.58","E","Estimated value",""
"FBS","食品收支表 (2010-)","422","黎巴嫩","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","14.42","E","Estimated value",""
"FBS","食品收支表 (2010-)","422","黎巴嫩","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","1.33","E","Estimated value",""
"FBS","食品收支表 (2010-)","422","黎巴嫩","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0.95","E","Estimated value",""
"FBS","食品收支表 (2010-)","422","黎巴嫩","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","23.57","E","Estimated value",""
"FBS","食品收支表 (2010-)","422","黎巴嫩","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","1.1","E","Estimated value",""
