Region/Country,name,1882-1918,1919-1948,1948-1951,1952-1960,1961-1971,1972-1979,1980-1989,1990-2001,2002-2010,2011-2020,total
"Russian EmpireRussian Empire→Soviet Union Soviet Union→
Russia Russia, UkraineUkraine, and the former Soviet Union (Europe)",苏联/俄罗斯/乌克兰/前苏联欧洲地区,"47,500","52,350","8,163","13,743","29,376",137134 ,"29,754","844,139","72,520","118,000",1352679
Soviet Union total,前苏联,"47,500","52,350","8,163","13,743","29,376",137134 ,"29,754","906,127","84,942","118,000",1427089
SpainSpain,西班牙,,0,80,169,406,327 ,321,269,178,,1750
SwedenSweden,瑞典,,0,32,51,378,372 ,419,424,160,,1836
SwitzerlandSwitzerland,瑞士,,0,131,253,886,634 ,706,981,585,,4176
United KingdomUnited Kingdom,英国,,"1,574","1,907","1,448","6,461",6171 ,"7,098","5,365","3,725","6,320",40069
"Socialist Federal Republic of YugoslaviaYugoslavia→
Serbia Serbia and the former Yugoslavia",前南斯拉夫,,"1,944","7,661",320,322,126 ,140,"2,029",162,,12704
Other (Europe),其他欧洲地区,,"2,329","1,281",3,173,32 ,0,198,93,,4109
Not known,未知地区,,"52,982","20,014","3,307","2,265",392 ,469,422,0,0,79851
Total,总计,"62,500","482,857","687,624","297,138","427,828",267580 ,"153,833","1,059,993","181,233","236,903",3857489
