领域代码,领域,地区代码(M49),地区,要素代码,要素,科目代码(CPC),科目,年份代码,年份,单位,值,标识,标识描述,说明
SCL,供应利用账目(2010-),887,也门,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,190899.54,E,Estimatedvalue,
SCL,供应利用账目(2010-),887,也门,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,3.18,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),887,也门,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,15.52,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),51,亚美尼亚,5510,Production,1221,西瓜,2022,2022,t,124556.3,A,Officialfigure,
SCL,供应利用账目(2010-),51,亚美尼亚,5610,进口数量,1221,西瓜,2022,2022,t,7839.62,A,Officialfigure,
SCL,供应利用账目(2010-),51,亚美尼亚,5910,出口数量,1221,西瓜,2022,2022,t,93.34,A,Officialfigure,
SCL,供应利用账目(2010-),51,亚美尼亚,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,104500,A,Officialfigure,
SCL,供应利用账目(2010-),51,亚美尼亚,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,21.07,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),51,亚美尼亚,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,102.97,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),376,以色列,5510,Production,1221,西瓜,2022,2022,t,106807,A,Officialfigure,
SCL,供应利用账目(2010-),376,以色列,5610,进口数量,1221,西瓜,2022,2022,t,0,A,Officialfigure,
SCL,供应利用账目(2010-),376,以色列,5910,出口数量,1221,西瓜,2022,2022,t,19.86,I,Imputedvalue,
SCL,供应利用账目(2010-),376,以色列,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,104202.4,E,Estimatedvalue,
